,x,y,z,value,token
0,-0.6982422,0.10272217,-0.058166504,0.08843994, Although ->  insomnia
1,-0.68847656,0.1116333,-0.039215088,0.083618164,Although ->  MySQL
2,-0.6821289,0.117248535,-0.029937744,0.080566406,Although ->  the
3,-0.6801758,0.10345459,-0.04611206,0.07965088,Although ->  the
4,-0.67626953,0.099365234,-0.056732178,0.07775879, Although ->  Python
5,-0.67529297,0.105651855,-0.042938232,0.07733154, Although ->  most
6,-0.6748047,0.119506836,-0.015060425,0.0770874,Although ->  there
7,-0.6743164,0.07739258,-0.063964844,0.0769043, Although ->  the
8,-0.6738281,0.103149414,-0.054901123,0.076660156, Although ->  the
9,-0.67333984,0.090148926,-0.060058594,0.076538086, Although ->  computer
10,-0.6723633,0.09631348,-0.045806885,0.07598877, Although ->  the
11,-0.6713867,0.092163086,-0.032562256,0.07556152,Although ->  this
12,-0.6713867,0.103149414,-0.029663086,0.07556152, Although ->  the
13,-0.67089844,0.11639404,-0.043151855,0.07550049, Although ->  the
14,-0.67089844,0.07965088,-0.08203125,0.07543945,Though ->  it
15,-0.67041016,0.09210205,-0.061676025,0.07519531, Although ->  the
16,-0.6694336,0.09552002,-0.038604736,0.07476807, Although ->  they
17,-0.66845703,0.103637695,-0.029724121,0.07421875,Although ->  the
18,-0.66796875,0.10888672,-0.032806396,0.074157715,Although ->  the
19,-0.66796875,0.10406494,-0.054382324,0.07409668, Although ->  the
20,-0.6669922,0.105285645,-0.07775879,0.07354736, Although -> Ċ
21,-0.6665039,0.11608887,-0.023666382,0.07348633,Although ->  Av
22,-0.66552734,0.09490967,-0.050689697,0.07293701, Although ->  conj
23,-0.6640625,0.10296631,-0.048675537,0.072265625, Although ->  the
24,-0.6635742,0.08959961,-0.029251099,0.072143555,Although ->  the
25,-0.6621094,0.10107422,-0.03982544,0.07147217,Although ->  hair
26,-0.6621094,0.080200195,-0.06762695,0.07147217,Though ->  the
27,-0.6621094,0.08874512,-0.068237305,0.07147217, Although ->  Alleg
28,-0.66064453,0.103027344,-0.03842163,0.07080078,Although ->  the
29,-0.66015625,0.13061523,-0.013366699,0.070739746,Although ->  the
30,-0.66015625,0.10510254,-0.012763977,0.07067871,Although ->  the
31,-0.66015625,0.08947754,-0.042144775,0.07067871, Although ->  divorce
32,-0.65966797,0.085876465,-0.07171631,0.07043457, Though ->  throat
33,-0.6591797,0.08203125,-0.038635254,0.0703125, Although ->  the
34,-0.6582031,0.112854004,-0.021911621,0.06994629,Although ->  the
35,-0.6582031,0.098083496,-0.044311523,0.069885254,Although ->  the
36,-0.6582031,0.10180664,-0.038848877,0.069885254,Although ->  these
37,-0.65771484,0.10852051,-0.058898926,0.06970215, Although ->  there
38,-0.65771484,0.101989746,-0.050445557,0.06964111,Although ->  the
39,-0.6567383,0.07928467,-0.039398193,0.0692749,Though ->  butterflies
40,-0.65625,0.109313965,-0.02128601,0.0690918,Although ->  there
41,-0.65527344,0.08843994,-0.03933716,0.068603516,Although ->  the
42,-0.65478516,0.09637451,-0.04547119,0.068359375, Although ->  this
43,-0.65478516,0.09655762,-0.029769897,0.068359375,Although ->  the
44,-0.6542969,0.10638428,-0.05126953,0.068237305, Although ->  this
45,-0.6533203,0.107788086,-0.029525757,0.06774902, Although ->  the
46,-0.65283203,0.117614746,-0.037994385,0.06768799, Although ->  the
47,-0.65185547,0.1149292,-0.05633545,0.06713867, Although ->  it
48,-0.65185547,0.11242676,-0.018249512,0.06713867, Although ->  the
49,-0.65185547,0.095214844,-0.04019165,0.06707764,Although ->  depression
50,-0.65185547,0.08087158,-0.044128418,0.06707764, Though ->  viscosity
51,-0.6513672,0.099609375,-0.04724121,0.06695557,Although ->  the
52,-0.6508789,0.11553955,-0.05517578,0.06677246,Although ->  Louis
53,-0.6508789,0.096069336,-0.02609253,0.066711426,Although ->  the
54,-0.64990234,0.11895752,-0.029815674,0.06640625,Although ->  it
55,-0.64941406,0.10168457,-0.017501831,0.066101074, Although ->  altitude
56,-0.6489258,0.10369873,-0.044799805,0.065979004,Although ->  Frank
57,-0.6484375,0.109191895,-0.036834717,0.0657959, Although ->  the
58,-0.6484375,0.117004395,-0.00793457,0.0657959, Although ->  recycling
59,-0.6484375,0.099121094,-0.024658203,0.06573486,Although ->  the
60,-0.6484375,0.10614014,-0.04800415,0.06573486,Although ->  the
61,-0.6479492,0.10681152,-0.01876831,0.06561279,Although ->  the
62,-0.64746094,0.10626221,-0.036956787,0.06536865,Although ->  CM
63,-0.64697266,0.10614014,-0.049316406,0.06506348,Although ->  the
64,-0.64697266,0.1005249,-0.053619385,0.06506348, Although ->  the
65,-0.6464844,0.12561035,-0.03643799,0.06500244, Although ->  it
66,-0.6459961,0.10217285,-0.023666382,0.064697266, Although ->  the
