,x,y,z,value,token
0,-0.68310547,0.05392456,-0.027557373,0.11401367,1 -> 9
1,-0.6796875,0.109680176,0.056121826,0.111694336,1 -> 9
2,-0.67626953,0.0982666,0.05621338,0.109436035,1 -> 9
3,-0.6635742,0.11395264,0.093933105,0.101501465,1 -> 9
4,-0.66308594,0.02810669,-0.013809204,0.10119629,1 -> 0
5,-0.65966797,0.0803833,0.091674805,0.09918213,1 -> 7
6,-0.65966797,0.09387207,0.04220581,0.09918213,1 -> 9
7,-0.6557617,0.111816406,0.048980713,0.09674072,1 -> 9
8,-0.6557617,0.14050293,0.058685303,0.09674072,1 -> 8
9,-0.65527344,0.09075928,-0.058624268,0.09661865,1 -> 9
10,-0.6508789,0.07086182,0.03024292,0.094055176,1 -> 9
11,-0.64990234,0.08795166,-0.0011730194,0.093444824,1 -> 9
12,-0.64941406,0.09240723,0.022369385,0.09313965,1 -> 7
13,-0.6489258,0.08239746,0.053710938,0.09283447,1 -> 9
14,-0.6489258,0.12060547,0.07385254,0.09283447,1 -> 9
15,-0.6479492,0.09411621,0.07171631,0.09240723,1 -> 9
16,-0.6479492,0.08648682,0.03225708,0.09240723,1 -> 9
17,-0.6479492,0.09295654,0.025360107,0.09240723,1 -> 9
18,-0.6479492,0.0848999,0.025970459,0.09240723,1 -> 7
19,-0.64746094,-0.013801575,-0.29882812,0.09197998,1 -> 0
20,-0.64746094,0.10119629,0.03414917,0.091918945,1 -> 8
21,-0.6464844,0.12231445,0.059265137,0.0914917,1 -> 9
22,-0.6459961,0.113708496,0.06311035,0.09118652,1 -> 9
23,-0.6455078,0.1295166,0.040405273,0.09088135,1 -> 9
24,-0.64453125,0.062927246,0.01914978,0.0904541,1 -> 9
25,-0.64404297,0.097595215,0.01737976,0.090026855,1 -> 9
26,-0.6435547,-0.02508545,-0.22583008,0.08972168,1 -> 0
27,-0.6430664,0.14123535,0.053741455,0.08959961,1 -> 0
28,-0.6425781,0.0680542,0.066467285,0.08929443,1 -> 9
29,-0.6425781,0.08166504,-0.014976501,0.08929443,1 -> 9
30,-0.64160156,0.034973145,0.024597168,0.08874512,1 -> 9
31,-0.64160156,0.0524292,0.022140503,0.08874512,1 -> 8
32,-0.640625,0.082458496,0.039886475,0.088134766,1 -> 9
33,-0.63964844,0.08496094,0.044311523,0.08770752,1 -> 9
34,-0.63916016,0.09893799,0.04638672,0.087402344,1 -> 9
35,-0.63916016,0.1048584,0.035827637,0.087402344,1 -> 9
36,-0.6386719,0.061706543,0.013137817,0.08709717,1 -> 9
37,-0.6381836,0.06323242,0.06591797,0.08685303,1 -> 9
38,-0.6376953,-0.023803711,-0.3869629,0.08685303,1 -> 0
39,-0.6376953,0.09362793,0.055877686,0.08666992,1 -> 9
40,-0.63720703,0.11834717,0.052490234,0.086242676,1 -> 9
41,-0.63671875,0.060638428,0.018463135,0.086120605,1 -> 8
42,-0.63671875,0.047088623,0.025405884,0.086120605,1 -> 9
43,-0.63623047,0.062316895,-0.02758789,0.08581543,1 -> 9
44,-0.63623047,0.12792969,0.020950317,0.08581543,1 -> 8
45,-0.6357422,0.087402344,0.04788208,0.08557129,1 -> 9
46,-0.6357422,0.06585693,0.030441284,0.08557129,1 -> 9
47,-0.6352539,0.11303711,0.04800415,0.08526611,1 -> 8
48,-0.6347656,-0.036071777,-0.2619629,0.08502197,1 -> 2
49,-0.63378906,0.1204834,0.044128418,0.08441162,1 -> 8
50,-0.63378906,0.13195801,0.059295654,0.08441162,1 -> 8
51,-0.6328125,-0.02684021,-0.30078125,0.08404541,1 -> 2
52,-0.6323242,0.0077400208,0.0058174133,0.0836792,1 -> 9
53,-0.63183594,0.11248779,0.07330322,0.08343506,1 -> 9
54,-0.63183594,0.027282715,0.019042969,0.08343506,1 -> 7
55,-0.63134766,0.06604004,-0.006259918,0.08325195,1 -> 9
56,-0.6308594,0.008964539,-0.2364502,0.08306885,1 -> 8
57,-0.6308594,0.114746094,0.038116455,0.08300781,1 -> 8
58,-0.6303711,0.035888672,-0.016921997,0.08270264,1 -> 9
59,-0.6303711,0.08654785,0.053955078,0.08270264,1 -> 9
60,-0.6303711,0.089660645,-0.005859375,0.08270264,1 -> 8
61,-0.6298828,-0.0055160522,-0.21643066,0.08251953,1 -> 9
62,-0.6298828,0.04699707,0.029693604,0.082458496,1 -> 9
63,-0.62939453,0.093444824,0.017791748,0.08215332,1 -> 7
64,-0.62939453,0.06732178,0.026870728,0.08215332,1 -> 9
65,-0.62939453,0.16748047,-0.01260376,0.08215332,1 -> 8
66,-0.62890625,-0.022842407,-0.26123047,0.08190918,1 -> 0
67,-0.62890625,0.082458496,0.02420044,0.081848145,1 -> 8
68,-0.62841797,0.0028495789,-0.2565918,0.08178711,1 -> 5
69,-0.62841797,0.0039978027,-0.015510559,0.081726074,1 -> 8
70,-0.6279297,0.11230469,0.060424805,0.08148193,1 -> 9
71,-0.6279297,0.0060691833,-0.05444336,0.08148193,1 -> 9
72,-0.6274414,0.089904785,0.031036377,0.08117676,1 -> 9
73,-0.6274414,0.11126709,-0.001039505,0.08117676,1 -> 8
74,-0.6269531,-0.029907227,-0.10089111,0.08087158,1 -> 9
75,-0.6269531,0.14929199,0.07128906,0.08087158,1 -> 9
76,-0.62646484,0.103759766,0.0010213852,0.08074951,"1 -> ,"
77,-0.62597656,0.12231445,0.052337646,0.080322266,1 -> 9
78,-0.6254883,0.08721924,0.037017822,0.080200195,1 -> 9
79,-0.6254883,0.11340332,0.055267334,0.080200195,1 -> 9
80,-0.625,0.109436035,0.0028190613,0.079956055,1 -> 2
81,-0.625,0.06524658,-0.005756378,0.079956055,1 -> 9
82,-0.625,0.05316162,0.024230957,0.079956055,1 -> 9
83,-0.625,0.12670898,0.03543091,0.079956055,1 -> 9
84,-0.6245117,0.121398926,0.06707764,0.07965088,1 -> 9
85,-0.6245117,-0.025756836,-0.12243652,0.07965088,1 -> 9
86,-0.62402344,0.04638672,0.0068130493,0.07940674,1 -> 9
87,-0.62353516,0.05206299,0.053009033,0.07922363,1 -> 9
88,-0.6230469,-0.017868042,-0.09411621,0.07897949,1 -> 9
89,-0.6230469,-0.0069503784,0.016571045,0.07897949,1 -> 9
90,-0.6230469,0.12573242,0.019058228,0.07897949,1 -> 8
91,-0.6230469,0.008934021,0.031280518,0.07897949,1 -> 9
92,-0.6230469,0.059417725,0.06793213,0.07897949,1 -> 9
93,-0.6225586,-0.0036449432,-0.00932312,0.07867432,1 -> 9
94,-0.6225586,0.15283203,0.03527832,0.07867432,1 -> 8
95,-0.6225586,0.14855957,0.036621094,0.07867432,1 -> 0
96,-0.6225586,-0.041290283,-0.18896484,0.07867432,1 -> 8
97,-0.6220703,0.10620117,0.05114746,0.078430176,1 -> 9
98,-0.6220703,0.10559082,0.028137207,0.078430176,1 -> 8
99,-0.62158203,-0.017837524,-0.33569336,0.078430176,1 -> 0
100,-0.62158203,0.10028076,-0.005420685,0.078308105,1 -> 9
101,-0.62158203,0.101257324,0.04458618,0.078308105,1 -> 8
102,-0.62158203,0.140625,0.08886719,0.078308105,1 -> 8
103,-0.62158203,0.103637695,0.015655518,0.078308105,1 -> 9
104,-0.62158203,0.13879395,0.04699707,0.078308105,1 -> 9
105,-0.62109375,-0.021011353,-0.31933594,0.07800293,1 -> 0
106,-0.62109375,0.07342529,0.028076172,0.07788086,1 -> 8
107,-0.62109375,0.11621094,0.049224854,0.07788086,1 -> 9
108,-0.62060547,0.1005249,0.00819397,0.07775879,1 -> 0
109,-0.62060547,0.11340332,-0.0063819885,0.07775879,1 -> 8
110,-0.6196289,0.1472168,0.0602417,0.07720947,1 -> 9
111,-0.6196289,0.051483154,0.008171082,0.07720947,1 -> 5
112,-0.6196289,-0.0024795532,0.018463135,0.07720947,1 -> 9
113,-0.6196289,0.08178711,0.0050849915,0.07720947,1 -> 9
114,-0.6196289,-0.022827148,-0.103393555,0.07720947,1 -> 0
115,-0.6191406,-0.014808655,-0.0055732727,0.0769043,1 -> 7
116,-0.6191406,0.11859131,0.0597229,0.0769043,1 -> 8
117,-0.61865234,0.064941406,0.0030975342,0.07678223,1 -> 8
118,-0.61865234,0.122802734,0.06781006,0.07678223,1 -> 5
119,-0.6176758,-0.025466919,-0.37426758,0.076416016,1 -> 2
120,-0.61816406,0.16540527,0.035614014,0.07635498,1 -> 9
121,-0.61816406,0.050689697,0.0259552,0.07635498,1 -> 9
122,-0.61816406,0.08294678,0.03604126,0.07635498,1 -> 9
123,-0.6176758,-0.0072402954,-0.04663086,0.07623291,1 -> 8
124,-0.6176758,0.08862305,0.04711914,0.07623291,1 -> 9
125,-0.6176758,0.14672852,0.043914795,0.07623291,1 -> 9
126,-0.6171875,0.078186035,0.02961731,0.07598877,1 -> 9
127,-0.6171875,0.12084961,0.03390503,0.07598877,1 -> 9
128,-0.6171875,-0.010055542,-0.016830444,0.07598877,1 -> 0
129,-0.6166992,-0.0047683716,-0.38598633,0.0758667,1 -> 5
130,-0.6166992,0.11743164,0.05593872,0.075683594,1 -> 9
131,-0.6166992,0.13171387,0.026153564,0.075683594,1 -> 8
132,-0.61621094,0.1743164,0.0635376,0.07543945,1 -> 9
133,-0.61621094,0.06359863,0.0013256073,0.07543945,1 -> 9
134,-0.61621094,0.0073051453,0.0006775856,0.07543945,1 -> 8
