,x,y,z,value,token
0,-0.73291016,-0.21765137,0.0345459,0.2442627,'t ->  want
1,-0.7270508,-0.19482422,0.01411438,0.2368164,âĢĻt ->  seem
2,-0.72216797,-0.25024414,0.011627197,0.23034668,âĢĻt ->  know
3,-0.71875,-0.24169922,0.0385437,0.22619629,'t ->  have
4,-0.71875,-0.21520996,0.01033783,0.22607422,âĢĻt ->  worry
5,-0.71728516,-0.2175293,0.0011396408,0.22424316,âĢĻt ->  need
6,-0.71240234,-0.22924805,0.0021343231,0.21801758,âĢĻt ->  need
7,-0.7114258,-0.23168945,0.021850586,0.21728516,âĢĻt ->  take
8,-0.7114258,-0.2166748,0.022857666,0.21716309,âĢĻt ->  have
9,-0.7109375,-0.2607422,0.021240234,0.2163086,âĢĻt ->  know
10,-0.7109375,-0.22485352,0.012718201,0.21618652,âĢĻt ->  want
11,-0.70703125,-0.20227051,-0.00033807755,0.21166992,âĢĻt ->  want
12,-0.70654297,-0.19641113,0.02293396,0.21105957,âĢĻt ->  mean
13,-0.70654297,-0.21166992,0.035247803,0.21105957,'t ->  think
14,-0.70410156,-0.1998291,0.02243042,0.20812988,'t ->  miss
15,-0.7036133,-0.19592285,0.008415222,0.2076416,'t ->  have
16,-0.70214844,-0.2097168,0.009231567,0.20568848,âĢĻt ->  just
17,-0.7006836,-0.21386719,0.044769287,0.20410156,'t ->  have
18,-0.69970703,-0.24499512,0.035705566,0.20288086,'t ->  know
19,-0.69873047,-0.16564941,0.019439697,0.20178223,âĢĻt ->  let
20,-0.6958008,-0.25805664,0.030883789,0.19848633,'t ->  know
21,-0.6948242,-0.26098633,0.028579712,0.19750977,'t ->  know
22,-0.6928711,-0.26660156,0.035583496,0.19543457,'t ->  know
23,-0.6928711,-0.20788574,0.033233643,0.19519043,'t ->  know
24,-0.6923828,-0.24291992,0.0042037964,0.19482422,âĢĻt ->  you
25,-0.69189453,-0.22436523,-0.0011491776,0.1940918,'t ->  worry
26,-0.6894531,-0.25195312,0.035339355,0.19140625,'t ->  know
27,-0.6894531,-0.25073242,0.016494751,0.19140625,'t ->  know
28,-0.68847656,-0.19335938,0.009819031,0.19030762,âĢĻt ->  have
