,x,y,z,value,token
0,-0.70751953,-0.05343628,-0.07763672,0.54785156, new ->  beginnings
1,-0.7026367,-0.080200195,0.003540039,0.5336914, new ->  media
2,-0.7011719,-0.14758301,0.19934082,0.5292969, New ->  World
3,-0.6958008,-0.12261963,0.2878418,0.5136719, New ->  York
4,-0.6933594,-0.13720703,-0.013328552,0.50634766, New ->  technologies
5,-0.69091797,-0.06286621,0.15515137,0.49853516, New ->  Drugs
6,-0.6894531,-0.16711426,0.078063965,0.49438477, New -> er
7,-0.6894531,0.008804321,-0.039978027,0.49438477, new ->  born
8,-0.6855469,-0.09588623,0.06286621,0.48339844, New ->  York
9,-0.6845703,-0.11035156,-0.14038086,0.4807129, new ->  generation
10,-0.68408203,-0.15185547,0.3034668,0.47998047, New ->  Zealand
11,-0.68408203,-0.17578125,0.057769775,0.4794922, new -> states
12,-0.68408203,-0.09039307,-0.09436035,0.4794922, new ->  books
13,-0.68359375,0.02078247,-0.16625977,0.47802734, new ->  beginnings
14,-0.6821289,-0.15759277,0.042022705,0.4741211, new -> scient
15,-0.6816406,-0.18481445,0.15478516,0.4729004, New ->  York
16,-0.6791992,0.013717651,-0.09094238,0.46606445, new ->  frontier
17,-0.67871094,-0.15844727,0.028503418,0.4645996, new -> scient
18,-0.6777344,-0.20251465,0.028518677,0.46166992,New ->  research
19,-0.6777344,0.007259369,0.03503418,0.46142578, new ->  mothers
20,-0.67626953,0.005657196,0.39379883,0.45922852, New ->  Yorkers
21,-0.67626953,-0.050445557,-0.09649658,0.4580078, new ->  words
22,-0.67529297,-0.061187744,0.36010742,0.45629883, New ->  Zealand
23,-0.6743164,-0.06964111,0.35717773,0.45288086, New ->  World
24,-0.6743164,-0.053710938,-0.08758545,0.45214844, new ->  students
25,-0.6743164,-0.121520996,-0.06439209,0.45214844, New ->  therapies
26,-0.6743164,-0.05895996,0.21032715,0.45214844, New ->  World
27,-0.6738281,-0.15686035,0.08886719,0.45141602,New ->  to
28,-0.6738281,-0.005168915,0.10882568,0.45141602, new ->  growth
29,-0.6723633,-0.15466309,0.3359375,0.4482422, New ->  York
30,-0.671875,-0.15905762,0.25805664,0.4465332, New ->  Teacher
31,-0.67041016,-0.01121521,0.38500977,0.44360352, New ->  York
32,-0.67041016,-0.031585693,0.20263672,0.4423828, New ->  World
33,-0.6699219,-0.0011053085,0.2626953,0.4411621, New ->  Orleans
34,-0.6699219,-0.1184082,-0.06298828,0.44091797, new ->  century
35,-0.6699219,-0.023712158,-0.14355469,0.44091797, new ->  visitors
36,-0.6699219,-0.048187256,-0.08343506,0.44091797, new ->  moon
37,-0.6689453,0.055633545,0.3564453,0.43920898, New ->  World
38,-0.66796875,-0.119140625,-0.017028809,0.43579102, new ->  to
39,-0.66748047,-0.19299316,0.17736816,0.43481445, New ->  York
40,-0.6669922,-0.084106445,-0.09729004,0.4333496, new ->  name
41,-0.6660156,-0.10437012,-0.15063477,0.43066406,new ->  foundations
42,-0.66503906,-0.061920166,0.4399414,0.43017578, New ->  Zealand
43,-0.66552734,-0.1348877,0.21850586,0.4296875, New ->  York
44,-0.66503906,-0.112854004,-0.11413574,0.42822266, new ->  world
45,-0.6640625,-0.010520935,0.38305664,0.42651367, New ->  Guinea
46,-0.6640625,-0.0025520325,0.3449707,0.42626953, New ->  Orleans
47,-0.6635742,-0.05218506,0.38623047,0.4260254, New ->  York
48,-0.6635742,-0.12561035,0.010276794,0.4248047, New ->  technologies
49,-0.66308594,-0.15905762,0.0869751,0.4230957, New ->  Anthrop
50,-0.66259766,-0.09899902,0.066833496,0.42163086, New ->  King
51,-0.6621094,-0.08728027,-0.06549072,0.42114258, new ->  women
52,-0.6616211,0.039398193,0.4020996,0.42041016, New ->  Zealand
53,-0.6616211,-0.07171631,0.26123047,0.4194336, New ->  Yorkers
54,-0.6611328,-0.10772705,0.37353516,0.4189453, New ->  York
55,-0.66064453,-0.23815918,0.04525757,0.41748047,New ->  research
56,-0.66064453,-0.11126709,-0.09613037,0.41723633, new ->  insight
57,-0.65966797,-0.265625,0.06414795,0.41455078,New ->  U
58,-0.6586914,0.020874023,0.38378906,0.41357422, New ->  England
59,-0.6586914,-0.13830566,0.21838379,0.41259766, New ->  Orleans
60,-0.6586914,-0.19006348,0.21984863,0.41259766, NEW -> PORT
61,-0.6586914,-0.078308105,-0.06866455,0.41235352, new ->  infections
62,-0.6586914,-0.10858154,-0.13049316,0.41235352, new ->  health
63,-0.65722656,-0.027893066,-0.13745117,0.40844727, new ->  species
64,-0.65722656,0.005844116,-0.18969727,0.40844727, new ->  generations
65,-0.6567383,-0.1496582,-0.0073051453,0.40722656, New ->  federal
66,-0.65625,-0.3149414,0.20214844,0.40698242,New ->  York
67,-0.65625,-0.26220703,0.16955566,0.40649414,New ->  York
68,-0.65625,-0.19250488,0.1763916,0.40625, New ->  York
69,-0.65625,-0.020111084,-0.17211914,0.40600586, new ->  rock
70,-0.65625,-0.107299805,-0.036590576,0.40600586,new -> er
71,-0.6557617,-0.08734131,0.4025879,0.40600586, New ->  York
72,-0.65625,-0.079711914,-0.16687012,0.40600586, new ->  era
73,-0.65527344,-0.1463623,0.42944336,0.40527344, New ->  Zealand
74,-0.6557617,-0.15246582,0.19067383,0.40478516, New ->  York
75,-0.65527344,-0.19885254,0.021865845,0.4038086, New ->  technologies
76,-0.65478516,-0.13928223,0.39648438,0.40356445, New ->  York
77,-0.65527344,-0.06311035,-0.07684326,0.40356445, new ->  socialist
78,-0.6538086,-0.34301758,0.12927246,0.4013672,New ->  research
79,-0.6538086,-0.23364258,-0.09124756,0.40014648,new ->  findings
80,-0.6533203,-0.01574707,0.39892578,0.39990234, New ->  Zealand
81,-0.6533203,-0.16235352,0.07513428,0.39868164, New ->  World
82,-0.65283203,-0.13012695,0.35473633,0.39868164, New ->  York
83,-0.65283203,-0.086364746,0.2824707,0.39819336,New ->  Zealand
84,-0.65283203,-0.12207031,-0.08874512,0.39794922, new ->  settlers
85,-0.65185547,-0.05859375,0.43579102,0.39697266, New ->  Mexico
86,-0.65234375,-0.089660645,-0.07897949,0.39624023, new -> sw
87,-0.65234375,-0.007633209,-0.21875,0.39624023, new ->  growth
88,-0.65234375,-0.15917969,-0.023544312,0.39624023, new ->  type
89,-0.65185547,0.008453369,0.34594727,0.39575195, New ->  World
90,-0.6513672,-0.20483398,0.21032715,0.39453125,New ->  York
91,-0.6513672,-0.06726074,-0.15222168,0.3942871, new ->  to
92,-0.6503906,-0.11785889,0.42919922,0.3935547, New ->  York
93,-0.6508789,-0.23376465,0.013023376,0.39282227,New ->  research
94,-0.6508789,-0.122558594,0.17199707,0.39257812, New ->  Jim
95,-0.6508789,-0.032287598,-0.015655518,0.39257812, new -> Ċ
96,-0.6503906,-0.15466309,-0.16040039,0.3918457, new ->  technologies
97,-0.64990234,-0.054656982,0.3395996,0.39135742, New ->  Zealand
98,-0.64941406,-0.011520386,0.42871094,0.39111328, New -> gate
99,-0.64990234,-0.059936523,-0.20275879,0.390625, new ->  media
100,-0.64941406,-0.3100586,0.18811035,0.39038086,New ->  York
101,-0.6489258,0.0009431839,0.42456055,0.38989258, New ->  York
102,-0.6489258,-0.15319824,0.26879883,0.38842773, New ->  York
103,-0.6489258,-0.019500732,-0.14746094,0.3881836, new ->  lives
104,-0.6489258,-0.02709961,-0.15393066,0.3881836, new ->  ways
105,-0.6489258,-0.14904785,0.16918945,0.3881836,New -> bie
106,-0.6489258,-0.08642578,0.2088623,0.3881836,New ->  York
107,-0.64746094,-0.11407471,0.43896484,0.3864746, New ->  York
108,-0.6479492,-0.041229248,-0.04776001,0.3857422, New ->  Home
109,-0.64746094,-0.14819336,-0.1149292,0.38452148, new ->  employee
110,-0.64746094,-0.018737793,-0.20251465,0.38452148, new ->  block
111,-0.64697266,-0.010864258,0.31982422,0.38378906, New ->  York
112,-0.6455078,0.033691406,0.3876953,0.3815918, New ->  England
113,-0.6459961,-0.1348877,0.13244629,0.38085938,New ->  York
114,-0.6455078,-0.08856201,-0.1352539,0.3803711, new ->  ways
115,-0.64453125,0.056152344,0.40185547,0.3791504, New ->  York
116,-0.64404297,-0.044158936,0.4584961,0.37890625, New ->  College
117,-0.64453125,-0.16296387,-0.17236328,0.3779297, new ->  insights
118,-0.64404297,-0.13049316,-0.07397461,0.37670898,"new -> """
119,-0.6435547,-0.28979492,0.17346191,0.3762207, New ->  York
120,-0.6430664,-0.09472656,0.42285156,0.37597656, New ->  York
121,-0.6435547,-0.12231445,0.04095459,0.37548828, NEW ->  YEAR
122,-0.6430664,0.0069007874,0.39453125,0.37548828, New ->  York
123,-0.6425781,-0.328125,0.09490967,0.37426758,New ->  York
124,-0.6425781,-0.019088745,0.36816406,0.37402344, New ->  York
125,-0.6425781,-0.048980713,-0.12609863,0.37304688, new ->  school
126,-0.6411133,-0.06359863,0.4494629,0.37231445, New ->  York
127,-0.64160156,-0.20141602,0.115234375,0.37109375, New ->  Climate
128,-0.64160156,-0.075805664,0.06359863,0.3708496, New ->  Car
129,-0.64160156,-0.018508911,-0.095703125,0.3708496, new ->  fish
130,-0.6411133,-0.14660645,0.21496582,0.37036133, New ->  Home
131,-0.6411133,-0.119384766,0.23779297,0.37036133, New -> bie
132,-0.6411133,-0.11383057,-0.050445557,0.3701172, new -> sg
133,-0.6411133,-0.08258057,-0.105651855,0.3701172, new ->  plants
134,-0.6411133,-0.095703125,-0.1217041,0.3701172, new ->  nation
135,-0.640625,0.0090408325,0.3293457,0.36938477, New ->  Left
136,-0.640625,-0.17993164,0.2788086,0.36938477, New ->  York
137,-0.6401367,-0.04864502,0.37280273,0.36816406, New ->  York
138,-0.6401367,-0.103881836,0.37890625,0.36816406, New ->  Zealand
139,-0.6401367,-0.2421875,0.1227417,0.36743164,New ->  York
